Month,Popularity
2011-01,77
2011-02,100
2011-03,81
2011-04,76
2011-05,81
2011-06,67
2011-07,81
2011-08,73
2011-09,67
2011-10,73
2011-11,83
2011-12,72
2012-01,66
2012-02,77
2012-03,90
2012-04,71
2012-05,70
2012-06,66
2012-07,76
2012-08,69
2012-09,69
2012-10,61
2012-11,62
2012-12,64
2013-01,72
2013-02,76
2013-03,65
2013-04,64
2013-05,82
2013-06,69
2013-07,66
2013-08,64
2013-09,59
2013-10,59
2013-11,83
2013-12,61
2014-01,62
2014-02,57
2014-03,55
2014-04,63
2014-05,57
2014-06,55
2014-07,60
2014-08,49
2014-09,57
2014-10,45
2014-11,49
2014-12,54
2015-01,44
2015-02,44
2015-03,44
2015-04,43
2015-05,64
2015-06,64
2015-07,48
2015-08,44
2015-09,52
2015-10,44
2015-11,53
2015-12,52
2016-01,51
2016-02,52
2016-03,68
2016-04,59
2016-05,58
2016-06,50
2016-07,51
2016-08,62
2016-09,50
2016-10,49
2016-11,50
2016-12,62
2017-01,82
2017-02,53
2017-03,43
2017-04,44
2017-05,47
2017-06,48
2017-07,56
2017-08,54
2017-09,39
2017-10,43
2017-11,49
2017-12,45
2018-01,42
2018-02,44
2018-03,43
2018-04,42
2018-05,51
2018-06,54
2018-07,63
2018-08,50
2018-09,46
2018-10,44
2018-11,44
2018-12,41
2019-01,40
2019-02,40
2019-03,44
2019-04,40
2019-05,37
2019-06,37
2019-07,69
2019-08,57
2019-09,42
2019-10,47
2019-11,42
2019-12,43
